FIRM_ID,FIRM_NAME,SEARCH_TERM
105247,BLACKROCK FUND ADVISORS,:801-22609
105255,"BOYAR ASSET MANAGEMENT, INC.",:801-19283
105268,CAPITAL GROWTH MANAGEMENT LTD PARTNERSHIP,:801-35935
105276,SOUTHEASTERN ASSET MANAGEMENT INC.,:801-11123
105281,JENSEN INVESTMENT MANAGEMENT INC.,:801-32726
105294,PORTFOLIOS INC,:801-8072
105297,GE ASSET MANAGEMENT INCORPORATED,:801-31947
105323,WASMER SCHROEDER,:801-32554
105360,"INVESCO ADVISERS, INC.",:801-33949
105367,MONETTA FINANCIAL SERVICES INC,:801-21477
105376,"MILES CAPITAL, INC.",:801-17430
105377,"LOOMIS, SAYLES & COMPANY, L.P.",:801-170
105390,MACQUARIE INVESTMENT MANAGEMENT BUSINESS TRUST,:801-32108
105399,MARVIN & PALMER ASSOCIATES,:801-27724
105404,"BRANDES INVESTMENT PARTNERS, LP",:801-24896
105412,PEARL MANAGEMENT COMPANY,:801-8868
105421,OSTERWEIS CAPITAL MANAGEMENT,:801-18395
105444,THE EDGAR LOMAX COMPANY,:801-19358
105454,AMERICAN FUND ADVISORS INC,:801-14138
105466,"BECK, MACK & OLIVER LLC",:801-482
105471,OBERWEIS ASSET MANAGEMENT INC,:801-35657
105477,GUGGENHEIM INVESTMENTS,:801-8008
105496,"T. ROWE PRICE ASSOCIATES, INC.",:801-856
105508,"SCHARF INVESTMENTS, LLC",:801-18799
105512,"CALVERT INVESTMENT MANAGEMENT, INC.",:801-17044
105516,PRIMECAP MANAGEMENT CO,:801-19765
105519,BARROW HANLEY GLOBAL INVESTORS,:801-31237
105552,"AMERICAN BEACON ADVISORS, INC.",:801-29198
105556,RAINIER INVESTMENT MANAGEMENT LLC,:801-35638
105561,CROFT LEOMINSTER INC,:801-32380
105588,AQUILA INVESTMENT MANAGEMENT LLC,:801-22119
105616,THE BOSTON COMPANY ASSET MANAGEMENT LLC,:801-6829
105633,"BROWN CAPITAL MANAGEMENT, LLC",:801-19287
105641,PRINCIPAL MANAGEMENT CORP,:801-8144
105642,"BNY MELLON INVESTMENT ADVISER, INC.",:801-8147
105670,PGIM INVESTMENTS LLC,:801-31104
105675,"EVERENCE CAPITAL MANAGEMENT, INC.",:801-36323
105686,HSBC GLOBAL ASSET MANAGEMENT (USA) INC.,:801-25999
105690,TOCQUEVILLE ASSET MANAGEMENT LP,:801-36209
105710,SHEETS SMITH WEALTH MANAGEMENT,:801-31437
105718,FLIPPIN BRUCE & PORTER INC,:801-24187
105725,"SIT INVESTMENT ASSOCIATES, INC",:801-16350
105726,THOMPSON SIEGEL & WALMSLEY LLC,:801-6273
105728,NEWGATE CAPITAL MANAGEMENT LLC,:801-17465
105734,RUSSELL INVESTMENTS,:801-17141
105757,DRIEHAUS CAPITAL MANAGEMENT LLC,:801-18439
105758,CALAMOS ADVISORS LLC,:801-29688
105764,MELLON,:801-19785
105776,BLACKROCK INSTITUTIONAL MANAGEMENT CORPORATION,:801-13304
105777,FIDUCIARY INTERNATIONAL INC,:801-18352
105778,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,:801-8174
